gameId,playId,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,playNullifiedByPenalty,absoluteYardlineNumber,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,expectedPoints,offenseFormation,receiverAlignment,playClockAtSnap,passResult,passLength,playAction,dropbackType,dropbackDistance,passLocationType,timeToThrow,timeInTackleBox,timeToSack,unblockedPressure,qbSpike,qbKneel,qbSneak,rushLocationType,penaltyYards,prePenaltyYardsGained,yardsGained,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPointsAdded,isDropback,pff_runConceptPrimary,pff_runConceptSecondary,pff_runPassOption,yardsToEndzone,yOffsetAtSnap,xOffsetAtSnap,euclideanOffsetAtSnap,motionSinceLineset,shiftSinceLineset,secondsLeft,scoreDifference,kMeansLabel,heirLabel1,heirLabel2,heirLabel3,heirLabel4,finalLabel
2022102302,2655,3,1,10,CIN,ATL,CIN,21,01:54,35,17,N,31,0.982017487753183,0.0179825122468174,0.719313454814255,EMPTY,3x2,10.0,C,6.0,False,TRADITIONAL,2.40000009536743,INSIDE_BOX,2.99,2.99000000953674,,False,False,0,,,,9,9,0.0046338425017893,-0.0046338425017893,0.702716691652313,True,,,0,79,0.3409090909090909,6.277272727272726,6.286523037484745,True,False,1014,-18,4,4,4,3,3,4
2022091809,3698,4,1,10,CIN,DAL,CIN,8,02:13,17,17,N,18,0.424356237053871,0.575643762946129,0.607745570130646,EMPTY,3x2,9.0,C,4.0,False,TRADITIONAL,1.13999998569489,INSIDE_BOX,1.836,1.83599996566772,,False,False,0,,,,4,4,0.0028469264507293,-0.0028469264507293,-0.24050861550495,True,,,0,92,0.4945454545454556,6.076363636363635,6.096455547933887,False,False,133,0,4,4,4,3,3,4
2022091112,1674,2,1,10,GB,MIN,GB,25,00:35,17,0,N,35,0.914142984896898,0.0858570151031017,0.602452582679689,EMPTY,4x1,3.0,IN,45.0,False,SCRAMBLE,2.63000011444092,OUTSIDE_LEFT,4.506,3.5,,False,False,0,,,,0,0,0.003262422978878,-0.003262422978878,-1.07162690255791,True,,,0,75,0.5754545454545453,7.896363636363637,7.917304251547383,True,False,1835,-17,4,4,4,3,3,4
2022100207,681,1,1,10,TEN,IND,IND,42,04:32,0,7,N,52,0.346739573404193,0.653260426595807,3.38051165826619,I_FORM,2x1,11.0,C,17.0,True,TRADITIONAL,6.28999996185303,INSIDE_BOX,2.936,2.93600010871887,,False,False,0,,,,23,23,-0.0517183132469654,0.0517183132469654,1.43824456690345,True,OUTSIDE ZONE,,0,42,0.79181818181818,5.7809090909090886,5.834885255976607,True,False,2972,7,4,2,0,0,0,2
2022091111,923,2,1,10,LAC,LV,LAC,47,11:59,3,3,N,63,0.629273071885109,0.370726928114891,2.44700604118407,SINGLEBACK,2x2,11.0,C,28.0,True,TRADITIONAL,6.69000005722046,INSIDE_BOX,3.537,3.53699994087219,,False,False,0,,,,42,42,0.0480066798627377,-0.0480066798627377,2.48353039263748,True,INSIDE ZONE,,0,53,0.2309090909090876,5.576363636363634,5.58114239320438,True,False,2519,0,1,1,0,0,0,1
2022110300,1182,2,1,10,PHI,HOU,PHI,34,09:28,7,7,N,44,0.149477835744619,0.850522164255381,1.70328840939328,SINGLEBACK,2x2,9.0,,,False,,,,,,,,,0,False,INSIDE_LEFT,,25,25,-0.0204340647906065,0.0204340647906065,1.63771454582456,False,TRAP,LEAD,0,66,0.09272727272727108,5.520909090909095,5.521687743542741,True,True,2368,0,3,0,0,0,0,0
2022101601,2344,3,1,10,CLE,NE,CLE,36,10:13,6,17,N,74,0.229286424815655,0.770713575184345,2.06933726044372,SINGLEBACK,2x2,18.0,,,False,,,,,,,,,0,False,OUTSIDE_RIGHT,,1,1,4.80189919471741e-05,-4.80189919471741e-05,-0.467615284956992,False,OUTSIDE ZONE,,0,64,0.490909090909094,6.08636363636363,6.10612921985661,False,True,1513,11,0,0,0,0,0,0
2022091806,346,1,1,10,NE,PIT,PIT,31,09:31,0,0,N,79,0.339810103178024,0.660189896821976,4.17169908282813,SHOTGUN,2x2,7.0,,,False,,,,,,,,,0,False,OUTSIDE_RIGHT,,9,9,-0.0127535834908485,0.0127535834908485,0.77158219460398,False,MAN,,0,31,0.5681818181818286,6.313636363636378,6.339150945571811,True,True,3271,0,3,0,0,0,0,0
2022100913,893,1,1,10,BAL,CIN,CIN,29,00:37,3,0,N,81,0.71654350310564,0.28345649689436,4.12671459012199,SINGLEBACK,3x1,5.0,C,8.0,True,DESIGNED_ROLLOUT_RIGHT,6.09999990463257,INSIDE_BOX,2.803,2.80299997329712,,False,False,0,,,,8,8,0.0060379989445209,-0.0060379989445209,0.506650239229202,True,OUTSIDE ZONE,,0,29,0.2090909090909153,6.594545454545462,6.597859407438952,True,True,2737,-3,3,0,0,0,0,0
2022092503,1755,2,1,10,MIA,BUF,MIA,44,02:00,14,14,N,54,0.478396013379097,0.521603986620903,1.93785316124558,SHOTGUN,3x1,7.0,I,4.0,False,TRADITIONAL,1.16999995708466,INSIDE_BOX,1.86,1.86000001430511,,False,False,0,,,,0,0,-0.0025893040001392,0.0025893040001392,-0.372914159088396,True,,,0,56,0.45090909090909165,7.090000000000003,7.104323965604645,True,False,1920,0,1,1,0,0,0,1
2022103009,555,1,1,10,IND,WAS,IND,8,05:17,0,0,N,102,0.555502787232399,0.444497212767601,0.106259798631072,SINGLEBACK,3x1,13.0,,,False,,,,,,,,,0,False,OUTSIDE_LEFT,,3,3,-0.0008324459195137,0.0008324459195137,-0.278303120750934,False,INSIDE ZONE,,0,92,0.4509090909090839,4.9663636363636465,4.98679123052686,False,True,3017,0,3,0,0,0,0,0
2022092502,64,1,1,10,IND,KC,IND,34,14:52,0,0,N,44,0.402689836919308,0.597310163080692,1.5238569569774,SHOTGUN,2x2,15.0,I,0.0,False,TRADITIONAL,2.15000009536743,INSIDE_BOX,1.902,1.90199995040894,,False,False,0,,,,0,0,-0.0168079733848572,0.0168079733848572,-0.677131726872176,True,,,0,66,0.23636363636363844,5.906363636363642,5.91109119990157,True,True,3592,0,3,0,0,0,0,0
2022091810,2532,3,1,10,HOU,DEN,DEN,23,12:28,6,6,N,87,0.651460655033588,0.348539344966412,4.62742121599149,SHOTGUN,3x1,16.0,C,4.0,False,TRADITIONAL,2.82999992370605,INSIDE_BOX,2.436,2.43600010871887,,False,False,0,,,,5,5,-0.0358623526990414,0.0358623526990414,0.26467720803339,True,,,0,23,0.3481818181818219,7.074545454545469,7.0831083548779885,True,True,1648,0,3,0,0,0,0,0
2022092900,2469,3,1,10,CIN,MIA,MIA,49,07:21,14,12,N,61,0.716145075857639,0.283854924142361,3.10658957366832,SINGLEBACK,3x1,9.0,,,False,,,,,,,,,0,False,INSIDE_LEFT,,4,4,-0.0073448121547699,0.0073448121547699,-0.197327128611505,False,PULL LEAD,PITCH,0,49,0.47090909090908634,5.806363636363642,5.825428228858959,True,True,1341,-2,3,0,0,0,0,0
2022091802,3557,4,1,10,WAS,DET,DET,13,03:50,36,21,N,97,0.96541590988636,0.0345840901136398,4.95407272968441,SHOTGUN,3x1,23.0,I,13.0,False,TRADITIONAL,1.91999995708466,INSIDE_BOX,1.768,1.76800000667572,,False,False,0,,,,0,0,0.0072497185319662,-0.0072497185319662,-0.463278178067412,True,,,0,13,0.4509090909090942,5.5445454545454655,5.562850286119989,True,True,230,-15,2,0,0,0,0,0
2022110600,2292,3,1,10,ATL,LAC,ATL,47,08:27,10,14,N,57,0.382019706070423,0.617980293929577,2.79918570909649,PISTOL,2x1,11.0,,,False,,,,,,,,,0,False,INSIDE_LEFT,,7,7,0.0072789378464222,-0.0072789378464222,0.287946803029627,False,OUTSIDE ZONE,LEAD,0,53,0.44909090909091404,6.538181818181825,6.553587119450805,True,True,1407,4,3,0,0,0,0,0
2022092504,3192,4,1,10,DET,MIN,DET,9,12:53,14,24,N,101,0.153612155467272,0.846387844532728,0.367209170013666,SINGLEBACK,2x2,16.0,,,False,,,,,,,,,0,False,INSIDE_LEFT,,4,4,-0.0084482245147228,0.0084482245147228,-0.246641031000763,False,OUTSIDE ZONE,SPLIT,0,91,0.1345454545454872,6.360909090909093,6.362331879283633,False,False,773,10,0,3,0,0,0,3
2022101604,3174,4,1,10,MIA,MIN,MIN,31,12:13,3,16,N,41,0.0955018848180771,0.904498115181923,3.94041938218288,EMPTY,3x2,5.0,C,12.0,False,TRADITIONAL,1.1599999666214,INSIDE_BOX,1.905,1.90499997138977,,False,False,0,,,,13,13,0.0068593528121709,-0.0068593528121709,0.819649286742788,True,,,0,31,0.02545454545454556,6.844545454545454,6.844592786515727,False,True,733,13,4,4,4,3,3,4
2022091105,3712,4,1,10,IND,HOU,HOU,29,02:13,20,13,N,81,0.778418242931366,0.221581757068634,3.68226589757251,SINGLEBACK,3x1,20.0,,,False,,,,,,,,,0,False,INSIDE_LEFT,,14,14,-0.0641150921583176,0.0641150921583176,1.10991573752835,False,OUTSIDE ZONE,,0,29,0.2981818181818157,5.765454545454552,5.773160184196933,False,False,133,-7,2,3,0,0,0,3
2022100903,730,1,1,10,JAX,HOU,HOU,19,03:21,0,0,N,91,0.815933374688029,0.184066625311971,4.84277079929598,SHOTGUN,2x2,21.0,C,3.0,True,TRADITIONAL,2.52999997138977,INSIDE_BOX,2.403,2.40300011634827,,False,False,0,,,,3,3,-0.0003907643258571,0.0003907643258571,-0.122958689462394,True,OUTSIDE ZONE,,0,19,0.11909090909090413,5.710909090909095,5.712150671091953,False,False,2901,0,0,3,0,0,0,3
2022103002,240,1,1,10,DAL,CHI,CHI,31,11:39,0,0,N,79,0.810718011111021,0.189281988888979,4.17734400590416,SINGLEBACK,2x2,16.0,C,2.0,True,TRADITIONAL,7.63000011444092,INSIDE_BOX,2.97,2.97000002861023,,False,False,0,,,,16,16,0.0140990596264601,-0.0140990596264601,0.901445195893757,True,UNDEFINED,,0,31,0.12181818181818471,5.58999999999999,5.591327183184809,True,True,3399,0,3,0,0,0,0,0
2022102308,3207,4,1,10,HOU,LV,LV,40,03:39,31,20,N,70,0.956056683324277,0.0439433166757226,3.17185345414327,SHOTGUN,2x2,24.0,IN,13.0,False,TRADITIONAL,3.00999999046326,INSIDE_BOX,2.603,2.6029999256134,,False,False,0,,,,0,0,0.042085692868568,-0.042085692868568,-10.1718534541433,True,,,0,40,0.002727272727270247,7.78545454545455,7.785455023141258,True,False,219,-11,2,1,0,0,0,1
2022092510,2324,3,1,10,ARI,LA,ARI,11,12:57,6,13,N,99,0.227496489882469,0.772503510117531,0.320434723515064,EMPTY,3x2,13.0,C,5.0,False,TRADITIONAL,1.6599999666214,INSIDE_BOX,1.902,1.90199995040894,,False,False,0,,,,5,5,0.0015484429895877,-0.0015484429895877,-0.0126405959017575,True,,,0,89,0.3727272727272851,7.103636363636372,7.1134081287812885,False,True,1677,7,4,4,4,3,3,4
2022100910,3801,4,1,10,CAR,SF,CAR,10,04:29,15,30,N,100,0.0044059450738132,0.995594054926187,0.368266121018678,SHOTGUN,2x2,21.0,I,-3.0,False,TRADITIONAL,2.39000010490417,INSIDE_BOX,3.471,3.47099995613098,,False,False,0,,,,0,0,-0.0007650533225387,0.0007650533225387,-0.43477844633162,True,,,0,90,0.34272727272728143,7.1663636363636405,7.174554324281487,False,False,269,15,0,3,0,0,0,3
